scene,ped_id,nn_dist
seq_eth,2.0,2.2692069099136813
seq_eth,3.0,2.2692069099136813
seq_eth,2.0,2.4285386552410477
seq_eth,3.0,2.4285386552410477
seq_eth,2.0,2.353720459187963
seq_eth,3.0,1.3024976007655447
seq_eth,4.0,0.6985699678629198
seq_eth,5.0,0.6985699678629198
seq_eth,6.0,1.3024976007655447
seq_eth,2.0,2.291069619195367
seq_eth,3.0,1.1322985472038718
seq_eth,4.0,0.6985699678629189
seq_eth,5.0,0.6985699678629189
seq_eth,6.0,1.1322985472038718
seq_eth,2.0,2.2020445045457184
seq_eth,3.0,1.153776408148477
seq_eth,4.0,0.7864477096412701
seq_eth,5.0,0.7864477096412701
seq_eth,6.0,1.153776408148477
seq_eth,2.0,2.126805115660577
seq_eth,3.0,0.9689685237405806
seq_eth,4.0,0.7766595135579037
seq_eth,5.0,0.7766595135579037
seq_eth,6.0,0.9689685237405806
seq_eth,2.0,1.9201041638411183
seq_eth,3.0,0.9178779875342908
seq_eth,4.0,0.7727871634544661
seq_eth,5.0,0.7727871634544661
seq_eth,6.0,0.9178779875342908
seq_eth,2.0,1.7256882684888366
seq_eth,3.0,0.8183520025025903
seq_eth,4.0,0.7566372975210778
seq_eth,5.0,0.7566372975210778
seq_eth,6.0,0.8183520025025903
seq_eth,2.0,1.4289856542317
seq_eth,3.0,0.8805679985100522
seq_eth,4.0,0.6862215385719107
seq_eth,5.0,0.6862215385719107
seq_eth,6.0,0.8805679985100522
seq_eth,2.0,1.2093386622447828
seq_eth,3.0,0.8935882720806039
seq_eth,4.0,0.6735725647619569
seq_eth,5.0,0.6735725647619569
seq_eth,6.0,0.8935882720806039
seq_eth,2.0,0.8984430978086475
seq_eth,3.0,0.8984430978086475
seq_eth,4.0,0.6640783086353595
seq_eth,5.0,0.6640783086353595
seq_eth,6.0,0.9453041838477182
seq_eth,7.0,5.258745097454335
seq_eth,2.0,1.0255242561733975
seq_eth,3.0,1.0060318086422517
seq_eth,4.0,0.8357032966310469
seq_eth,5.0,0.8357032966310469
seq_eth,6.0,1.0060318086422517
seq_eth,7.0,2.8318545160371507
seq_eth,2.0,1.2234786471369248
seq_eth,3.0,1.2234786471369248
seq_eth,4.0,0.8411896337925233
seq_eth,5.0,0.8411896337925233
seq_eth,6.0,1.3182184947875668
seq_eth,7.0,1.1227199116431497
seq_eth,8.0,8.645258816252987
seq_eth,2.0,1.379746353501251
seq_eth,3.0,1.2093386622447826
seq_eth,4.0,0.8612200647918042
seq_eth,5.0,0.8612200647918042
seq_eth,6.0,1.2093386622447826
seq_eth,7.0,2.1009045670853297
seq_eth,8.0,7.316009841436792
seq_eth,2.0,1.6200308639035248
seq_eth,3.0,1.218031198286809
seq_eth,4.0,0.85146931829632
seq_eth,5.0,0.85146931829632
seq_eth,6.0,1.218031198286809
seq_eth,7.0,3.8200130889828117
seq_eth,8.0,6.14593361500106
seq_eth,2.0,1.5072159765607585
seq_eth,3.0,1.46
seq_eth,4.0,1.1244998888394782
seq_eth,5.0,1.1244998888394782
seq_eth,6.0,1.46
seq_eth,7.0,3.340793318958837
seq_eth,8.0,4.956258669601497
seq_eth,2.0,1.2649505919204909
