ped,other,frame,t,d_min,turn_deg,lat_other,speed,turn_dir,scene
2,6,70,2.8,0.4816637831516916,9.891375585168106,0.25929871400916155,2.0632574366762846,右,seq_eth
3,6,80,3.2,0.9436630754670865,10.637565610650114,0.9212409689714397,2.087537424814224,右,seq_eth
4,5,100,4.0,0.7766595135579037,11.373025189029647,-0.7706230993437335,2.571295879512896,左,seq_eth
5,4,150,6.0,0.6640783086353595,11.014105675066588,0.6179061007455211,2.5786685033171657,右,seq_eth
6,3,140,5.6,0.8935882720806039,8.63846008768013,-0.8921059967729531,1.9510013454634019,左,seq_eth
6,3,170,6.8,0.7003570517957246,16.025867448449674,-0.6669739773492335,1.7288905402020118,左,seq_eth
11,16,400,16.0,0.4780167361086847,11.493454522606498,-0.47779518132157595,1.8553975315279503,左,seq_eth
12,14,270,10.8,0.30886890422960983,11.064073316439504,-0.2742326506721041,1.7257244855422367,左,seq_eth
12,15,380,15.2,0.4940647730814246,9.074007141629579,-0.42601888224116485,1.8209286779003737,左,seq_eth
13,18,290,11.6,0.3420526275297423,17.788978186283146,-0.2885302105978928,1.3308831654206137,左,seq_eth
13,11,430,17.2,0.8521150157109078,11.073051432749736,-0.794417379805261,1.7706372440452036,左,seq_eth
15,20,320,12.8,0.331209903233584,22.370945672806045,-0.3247429291257983,1.782948751366681,左,seq_eth
15,18,440,17.6,0.684105255059482,8.035710710534744,-0.6599999999999995,2.3249999999999957,左,seq_eth
18,20,330,13.2,0.2699999999999996,8.90420109844672,-0.2669859289148622,1.8456028825291748,左,seq_eth
18,20,360,14.4,0.8125269226308753,8.947860715949844,-0.7477069912588196,2.116637959122909,左,seq_eth
18,20,390,15.6,0.7083078426785908,10.93849475598654,-0.7020613309103058,2.1095023109728968,左,seq_eth
23,24,500,20.0,0.8769264507357504,11.97756083290085,0.7147023199074019,2.655301301170935,右,seq_eth
33,34,810,32.4,0.9399999999999995,10.57888447920962,0.9291954107945802,2.149709282670575,右,seq_eth
40,38,1210,48.4,0.7278049189171505,23.294563253894438,0.38890872965260115,2.492551403682589,右,seq_eth
41,44,1330,53.2,0.3584689665786987,22.830127011058266,-0.2585867942530112,2.445020449812238,左,seq_eth
41,44,1420,56.8,0.1702938636592648,15.688490014167456,-0.16830659534615924,2.2600124446559917,左,seq_eth
41,42,1480,59.2,0.38209946349085583,13.044625166320827,0.3560660088464425,2.2362426634871193,右,seq_eth
42,44,1490,59.6,0.7481310045707229,24.658704147455268,-0.6666631901022811,2.3203246001368076,左,seq_eth
44,42,1460,58.4,1.1448143954370944,15.875596684433845,0.9680622679801599,2.4527089615362123,右,seq_eth
46,47,1440,57.6,0.7300684899377595,8.224409884464364,0.7146473390412535,2.360779797016241,右,seq_eth
57,58,2130,85.2,1.046231331972045,8.634141277018585,-0.46788887569593207,2.924305473099569,左,seq_eth
59,60,2230,89.2,0.5590169943749475,8.915591078941588,0.5406892735305083,2.4829418035870803,右,seq_eth
61,62,2400,96.0,1.1954078801814887,14.671121489960171,-1.175610048718033,2.5916331723451544,左,seq_eth
70,71,3480,139.2,0.6449806198638846,10.5538895157257,0.6038536743838887,2.0385733369198027,右,seq_eth
70,71,3510,140.4,0.7223572523343278,8.004505159375583,0.6342333966966199,2.0512953224730657,右,seq_eth
72,71,3440,137.6,0.5700877125495688,12.675430175885282,-0.5630938048839425,2.2886950430321313,左,seq_eth
73,72,3440,137.6,0.7810889834071406,11.49504586483107,-0.7180290086485643,2.382389819068206,左,seq_eth
74,75,3440,137.6,0.8000624975587842,10.891874469946202,-0.7119771568093757,1.7714753738056606,左,seq_eth
74,75,3540,141.6,0.9219544457292886,14.907654143420984,-0.8865410646530254,2.365936653843428,左,seq_eth
75,76,3520,140.8,0.8544588931013595,9.46989433743272,-0.6236967313783979,2.4270609798685108,左,seq_eth
78,80,3580,143.2,0.5672741841473136,8.46816467629074,0.3129564005178512,2.5830275356643457,右,seq_eth
84,85,3970,158.8,1.0804628637764468,17.11048913103062,1.0767574777164046,2.2160282601989096,右,seq_eth
85,84,3870,154.8,0.751664818918646,9.114928927922165,-0.7444384001099524,1.973971251057161,左,seq_eth
85,84,3970,158.8,1.0804628637764468,9.396951443695542,-1.0767610029276433,1.9862810727589013,左,seq_eth
86,87,3970,158.8,0.5420332093147062,14.358386345345309,-0.49298194520063665,3.0140556149481457,左,seq_eth
87,91,4010,160.4,0.45486261662176625,19.483458129198624,-0.30907009613407177,2.73724313863416,左,seq_eth
88,89,3990,159.6,0.8657944328765348,10.8688778840216,0.8517313487517721,2.7056653525518994,右,seq_eth
90,89,4000,160.0,0.8850988645343523,12.09214482186755,-0.8586413070538583,3.352098223501167,左,seq_eth
93,94,4110,164.4,0.6060528029800708,8.53893380142648,0.4541760862846089,2.2425222964331613,右,seq_eth
95,87,4040,161.6,0.4386342439892261,16.410817803891177,0.41964118675973977,2.9566926201415917,右,seq_eth
103,106,4350,174.0,0.9347192091746055,8.78656244050569,-0.9283827980708526,1.990288923749486,左,seq_eth
104,105,4390,175.6,0.6103277807866851,10.801855708439575,-0.6103110510009684,2.4895092387857938,左,seq_eth
106,107,4330,173.2,0.655515064662895,28.36819836718334,-0.6472982760466931,2.329297104278423,左,seq_eth
107,109,4370,174.8,0.5412023651093919,10.739329422911169,-0.27645259083424895,2.5203236399320397,左,seq_eth
109,110,4340,173.6,0.7224956747275384,8.377717378040273,0.69817274316603,2.4127266732889234,右,seq_eth
109,110,4460,178.4,0.502891638427206,8.371539112536254,0.4831969383215112,2.263052418747708,右,seq_eth
111,103,4380,175.2,0.8402380615040003,13.939482869922386,0.6834301064948799,2.142501458575967,右,seq_eth
114,118,4740,189.6,1.0519030373565812,16.58589794193054,-1.0031343020921697,2.385273831240313,左,seq_eth
117,118,4830,193.2,0.3535533905932726,14.083327872048415,0.20425578608028894,2.6296684676970847,右,seq_eth
122,121,5500,220.0,0.7308214556237387,8.008798838473552,0.7272706003533211,2.152396919715289,右,seq_eth
126,127,5640,225.6,0.965660395791398,14.932158420094026,0.9564018706211902,2.245133626312666,右,seq_eth
