frame,t,follower,leader,dist,lateral,angle,v_follower,v_leader,_seg,scene
2130,85.2,68,67,2.582789190003706,0.29927253025086514,6.653913864496902,2.155226206225277,2.0171917360528786,6,seq_hotel
2140,85.6,68,67,2.522399651125888,0.23649329528287039,5.379797149368363,1.9900141331156542,1.9877751381884292,6,seq_hotel
2150,86.0,68,67,2.5700778198334775,0.08896123770455475,1.9836449366299378,1.8631710200622764,1.8899818120817715,6,seq_hotel
2160,86.4,68,67,2.530316185775999,0.04375085584523026,0.9907316430985834,1.8885344847261931,1.856155300614696,6,seq_hotel
2170,86.8,68,67,2.5338705570727167,0.29434680479626485,6.670818905936189,1.8409406562950446,1.9465514377996849,6,seq_hotel
2180,87.2,68,67,2.62497619036821,0.5645732825778911,12.420073337645764,1.82350109679156,1.9491183904524683,6,seq_hotel
2130,85.2,69,68,1.8901058171435805,0.05456277062036005,1.6542199956237156,1.9014796869806863,2.155226206225277,7,seq_hotel
2140,85.6,69,68,1.9906280415989315,0.11649421391853548,3.3549424387482296,1.9443025741895268,1.9900141331156542,7,seq_hotel
2150,86.0,69,68,1.930233146539557,0.40102495972455776,11.99110627486587,2.012655273513048,1.8631710200622764,7,seq_hotel
2880,115.2,76,78,1.6447796204963145,0.47363867610828664,16.736152244347,1.1187325417632277,1.319682727021925,9,seq_hotel
2890,115.6,76,78,1.7356554957709778,0.16749021514608908,5.537642272323311,1.0754359581118793,1.4035668847618268,9,seq_hotel
2900,116.0,76,78,1.837743181187186,0.34441586625848375,10.801813378156993,1.2905909499140122,1.2625618796716285,9,seq_hotel
2910,116.4,76,78,1.660873264279969,0.37559933912836674,13.070258307043243,1.4357054015361224,1.2377524994925349,9,seq_hotel
2920,116.8,76,78,1.645600194457937,0.1412036172994921,4.922418187136018,1.2747548783982234,1.3002403623946122,9,seq_hotel
3500,140.0,90,91,2.95005084701942,0.03319412563979268,0.6447086973027096,1.3029413839463193,1.1738025813568316,10,seq_hotel
3510,140.4,90,91,2.9662434155004886,0.03346298293091149,0.6463826778574251,1.2962084130262204,1.3789715370521403,10,seq_hotel
3520,140.8,90,91,2.982834222681509,0.1013414691601916,1.9469925832509722,1.3000600947648853,1.395584554944661,10,seq_hotel
6890,275.6,141,140,1.604618334682737,0.4101364204644998,14.808992178303328,1.451346357696855,1.7918652990668213,13,seq_hotel
6900,276.0,141,140,1.6304907236779977,0.22135258336199112,7.802468656871796,1.4637281168305278,1.6129359875705842,13,seq_hotel
6910,276.4,141,140,1.6664333169977128,0.19403089882310268,6.686391417679242,1.4778574017813593,1.6507574019218865,13,seq_hotel
6920,276.8,141,140,1.7353097706173388,0.040150482634012885,1.3257912459388654,1.5971165423975784,1.6511832878272168,13,seq_hotel
6930,277.2,141,140,1.6772596698186004,0.15242061605601748,5.2139349599249405,1.6648010391635277,1.6876851750252106,13,seq_hotel
6940,277.6,141,140,1.7456230979223437,0.06804110709118544,2.2338476748078304,1.513790771540079,1.7520077768091948,13,seq_hotel
6950,278.0,141,140,1.8400271737123886,0.1058560216661158,3.298024030750058,1.4394551920779735,1.8048978502952373,13,seq_hotel
6960,278.4,141,140,2.02,0.25687191829043676,7.3057595333108205,1.4744702438502861,1.8085301352202972,13,seq_hotel
6970,278.8,141,140,2.100856968001391,0.11201128844081966,3.0562854639725727,1.6806341808971992,1.7306519725236258,13,seq_hotel
6980,279.2,141,140,2.0519746587129193,0.09341840400604694,2.6093553009500963,1.8197699030371723,1.6760258052905828,13,seq_hotel
6990,279.6,141,140,1.9825236442474017,0.1270745809513854,3.6750290245255393,1.748972912883414,1.6867127793432841,13,seq_hotel
7000,280.0,141,140,1.9911052207254136,0.06206621730123493,1.7862985938238476,1.6796577032241775,1.7331780779828538,13,seq_hotel
7010,280.4,141,140,2.018142710513803,0.05755597384164035,1.6342558757881687,1.6592543506044868,1.7467827569563126,13,seq_hotel
7020,280.8,141,140,2.060509645694481,0.06294596986267406,1.7505861260800555,1.6978847134007449,1.7182840277439244,13,seq_hotel
7030,281.2,141,140,2.0353132437047616,0.022501745732938172,0.6334559711637527,1.7943052276577331,1.7504017396014742,13,seq_hotel
7040,281.6,141,140,2.020618717126019,0.30730570372085414,8.74777204809125,1.8414074101077922,1.87032751142665,13,seq_hotel
7570,302.8,162,163,1.047854951794379,0.3205757935772181,17.814441175088078,1.2539936203985165,1.2209115447075474,23,seq_hotel
7580,303.2,162,163,1.0662551289442879,0.24571577336483125,13.323416303132223,1.2341495047197297,1.176661059948859,23,seq_hotel
7590,303.6,162,163,0.9946356116689166,0.11162639168326993,6.443790712248702,1.1590001078515597,1.3005407529178035,23,seq_hotel
7600,304.0,162,163,1.1527792503337313,0.08343860018001231,4.150719901477574,1.0606601717798816,1.2290748553282553,23,seq_hotel
7610,304.4,162,163,1.1275194011634566,0.19731221475552213,10.07846815167679,1.1745344822524015,1.0511898020814083,23,seq_hotel
7620,304.8,162,163,1.1140017953306898,0.5007490229911498,26.71190931632056,1.3704470073665656,1.134955946281602,23,seq_hotel
7630,305.2,162,163,0.9972462083156798,0.3259072218306595,19.075098492445495,1.2772039774444903,1.2124999999999742,23,seq_hotel
